location
Marina Beach
Armenian Church
Santhome Cathedral Basilica
Government Museum
Kishkinta Theme Park
Elliot's Beach
Guindy National Park
Cholamandal Artists' Village
Ripon Building
Birla Planetarium
Semmozhi Poonga
MGR Film City
Ashtalakshmi Temple
